Source IP, Source Port, Destination IP, Destination Port, Protocol, Flow Duration, Flow packets, Forward Packets, Backward Packets, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
198.52.200.39,443,10.0.2.15,55139,6,14979910,1134,628,506,25390.673241695044,75.70138939419529,13221.456310679596,17215.575165943395,94728.0,0.0,23891.403508771953,19038.754785379617,99216.0,0.0,29614.24158415843,19947.05857401069,118170.0,442.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14989884,837,462,375,20478.010370193657,55.837656915824034,17930.48325358851,24628.402529944255,118725.0,17.0,32516.017353579144,27791.97585759718,118989.0,20.0,39844.601604278076,28854.172159541118,118982.0,328.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14967706,933,501,432,18547.264357009684,62.334201379957626,16059.77038626608,21416.98501204819,181230.0,16.0,29935.412000000004,22007.046119369494,181230.0,16.0,34679.5684454756,21748.23026639879,218088.0,932.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,13814447,269,148,121,6268.075732600806,19.472368311232437,51546.44402985072,561328.620181736,9198425.0,20.0,93975.82993197281,756561.6352075777,9198759.0,55.0,114713.94166666668,836524.7390029103,9198425.0,361.0,4615750.0,0.0,4615750.0,4615750.0,9198425.0,0.0,9198425.0,9198425.0
198.52.200.39,443,10.0.2.15,55139,6,14042012,516,267,249,17628.243018165773,36.74687074758233,27266.04271844661,182522.92771549206,3808271.0,14.0,52789.51879699247,252296.68331461717,3809523.0,18.0,56618.34274193551,262050.99175386014,3808271.0,53.0,5505954.0,0.0,5505954.0,5505954.0,3808271.0,0.0,3808271.0,3808271.0
198.52.200.39,443,10.0.2.15,55139,6,14988578,693,379,314,15923.59195115107,46.235206568628456,21659.794797687846,73326.04196065887,1200106.0,12.0,39652.322751322725,97501.62350604561,1200106.0,12.0,44039.95527156554,83627.85601039547,1192668.0,79.0,822317.5,1162566.279764083,1644376.0,259.0,1196353.0,5307.543499586226,1200106.0,1192600.0
198.52.200.39,443,10.0.2.15,55139,6,14982294,1029,577,452,23992.520771518703,68.68107113636937,14574.215953307394,19565.818752377443,121750.0,16.0,26010.92708333334,21315.286796954275,121899.0,16.0,33080.17073170731,23995.217641941053,121912.0,287.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14999415,1044,573,471,23317.376044332395,69.60271450586572,14381.030680728662,20074.872339954443,133637.0,18.0,26155.04370629372,22733.58191831999,133637.0,22.0,31846.274468085114,23429.662983069127,133991.0,253.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14985700,986,544,442,23364.741053137324,65.79605890949372,15213.908629441628,21470.26749783605,126976.0,16.0,27597.97421731125,25026.474960482825,133883.0,16.0,33816.21995464853,25139.074894911406,127188.0,99.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14997295,869,483,386,20543.771393441286,57.94378252878269,17277.989631336415,23150.889721877644,122096.0,4.0,31114.71991701244,25666.471978996753,122322.0,4.0,38928.34805194806,28545.348742603914,133434.0,278.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14937327,827,460,367,19914.874997380724,55.36465794716819,18083.93099273609,24410.747023765216,125571.0,11.0,32543.196078431367,28130.997784241772,125639.0,11.0,40712.07377049183,30302.957835874076,126924.0,215.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14979985,786,437,349,19045.14590635438,52.47001248666137,19082.783439490446,24945.01997105039,121118.0,10.0,34357.76376146788,28462.03410872336,142276.0,10.0,42936.63505747126,28479.264531708144,121352.0,498.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14987518,834,468,366,20063.56222557998,55.64630514538832,17992.21848739495,24258.457074837326,106581.0,6.0,32093.18629550322,27215.989680739673,127737.0,6.0,40979.39178082192,29938.850980734635,122235.0,423.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14987934,746,417,329,18975.597303804516,49.77337103299227,20118.032214765095,26049.472752110363,122380.0,21.0,36028.68749999999,28931.457772665144,122641.0,21.0,45559.359756097554,31551.752969012356,122595.0,162.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14998823,1103,610,493,23150.483207915713,73.53910370167046,13610.54718693284,18182.577765963248,123460.0,18.0,24628.60919540232,19053.97489262707,123693.0,410.0,30400.79674796749,20490.75779222284,123592.0,498.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14939794,805,449,356,19152.6737249523,53.88293841267156,18581.833333333318,24160.28195312256,115125.0,16.0,33347.754464285696,28059.450853563758,125313.0,25.0,42075.208450704224,29617.02765438693,122246.0,372.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14993026,1045,579,466,23745.039860532488,69.69907208858305,14361.136015325666,19017.35459831896,108521.0,16.0,25939.491349480988,21381.583512329616,108667.0,16.0,32189.761290322556,23102.682771634427,126213.0,236.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14995655,768,426,342,18299.634127352223,51.21483523060513,19551.04954367667,24862.622409784857,115636.0,13.0,35283.89411764709,27896.485781765652,115636.0,16.0,43890.21700879765,30036.67539427431,122224.0,419.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14979140,830,462,368,20381.677452777665,55.41039071669001,18068.92641737033,24486.563993807697,126782.0,14.0,32492.711496746215,27866.42156020274,126930.0,14.0,40708.80653950953,29980.604956460887,148639.0,181.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14988717,893,489,404,20925.606908183003,59.57814801627117,16803.494394618836,22472.754281423422,119658.0,9.0,30714.584016393455,25234.03479131289,119897.0,9.0,37160.08933002482,27212.30063377673,119831.0,405.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14968876,835,464,371,19840.434245029486,55.78241145160131,17948.292565947235,24372.755500406798,118486.0,11.0,32330.18574514037,27305.29656198077,118691.0,26.0,40354.3243243243,30359.989040236072,142817.0,359.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14992787,874,486,388,20998.163983787672,58.29469864408799,17173.868270332197,23969.319403840305,169138.0,10.0,30912.962886597954,26639.41585504069,169138.0,10.0,38655.93540051679,30308.9526592214,169440.0,215.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14999641,891,489,402,20851.499045877164,59.4014216740254,16853.529213483158,22210.585358066648,120404.0,20.0,30736.969262295082,24993.777915427396,120544.0,39.0,37309.655860349114,27999.02570110739,122787.0,360.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14971937,908,510,398,22189.380038134008,60.64679540128976,16507.097023153216,22658.340368076588,121011.0,10.0,29414.414538310408,25964.731902539137,121307.0,10.0,37613.23677581868,28483.00412773844,152923.0,158.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14990592,856,475,381,20202.404281298564,57.10248134296498,17532.85614035089,23511.54888468712,118176.0,7.0,31625.72151898736,26597.14697178182,118388.0,35.0,39093.328947368434,28354.814161844228,122483.0,171.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14976992,905,507,398,22251.93149599065,60.4260187893537,16567.46902654868,23070.00838655787,138642.0,0.0,29598.798418972343,26260.2384210723,138642.0,0.0,37521.55919395466,29469.00476454498,163873.0,101.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14991065,927,518,409,22557.57012593835,61.83683414086991,16189.055075593955,22546.099843898002,124938.0,11.0,28996.257253384912,25529.679727067436,129375.0,28.0,36734.470588235294,27257.88163112335,135225.0,119.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14975318,882,486,396,20823.931752233908,58.89691290695797,16998.090805902382,23385.92223079788,118785.0,20.0,30876.9443298969,26994.062987657217,118785.0,20.0,37835.22025316453,28603.721225902274,142182.0,442.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14906502,882,485,397,21311.035949279045,59.16881103293046,16919.979568671955,23927.601411142154,125639.0,26.0,30798.557851239668,27728.827583100086,125802.0,31.0,37641.73232323235,28384.953474079124,125777.0,397.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14988192,791,438,353,19096.099115890695,52.774877717072215,18972.3949367089,25763.857531499376,140145.0,8.0,34297.92219679642,29598.052718590556,140297.0,36.0,42417.08238636367,30510.506416213742,140386.0,108.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14988788,819,452,367,19457.610581989684,54.64084220818921,18323.701711491467,26131.318393278394,151779.0,26.0,33234.563192904665,30199.510317330536,151929.0,42.0,40871.480874316934,30496.285862126962,151984.0,330.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14985557,962,536,426,22176.085947289113,64.1951446983252,15593.71175858481,20374.014495623396,121530.0,5.0,28010.38691588784,22094.399269167097,121617.0,5.0,35123.329411764666,23780.89216751007,122856.0,170.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14987880,873,492,381,20976.54905163372,58.247063627410945,17187.935779816482,23537.07223467879,122125.0,22.0,30524.75560081467,26047.256898414154,122426.0,22.0,39357.49736842106,27255.817389696233,124245.0,259.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14993812,765,424,341,18299.94933910069,51.02104788295331,19625.408376963358,26138.958559541723,127449.0,17.0,35446.3640661938,29494.829305056846,127660.0,17.0,43666.3882352941,30569.195835156017,127669.0,82.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14967131,773,427,346,17420.8403734824,51.646504597307256,19387.475388601022,25800.10578861401,151291.0,7.0,35134.11032863843,29187.425285872476,151411.0,29.0,43187.544927536255,31686.182298346557,151402.0,358.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14973241,746,415,331,18349.73470339521,49.82221283955825,20098.310067114115,26362.54933489255,153534.0,20.0,36167.24879227051,30428.866598561664,153750.0,20.0,45058.18787878788,30520.069570143794,153746.0,296.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14994217,727,410,317,18127.522097352597,48.48535938888973,20653.1914600551,28113.838964599454,121900.0,16.0,36660.2469437653,32034.696688231743,122066.0,19.0,47081.22468354428,32581.942355843614,123874.0,97.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14997719,831,455,376,19912.828077389637,55.408425774612795,18069.540963855423,25206.58036143775,120898.0,6.0,33034.62334801767,28532.21073292693,121069.0,28.0,39891.55733333335,32217.84631376902,122493.0,24.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14982074,866,485,381,20856.591684168692,57.80241106805373,17320.31676300576,22853.357853641162,104143.0,14.0,30954.69834710743,25703.627974745057,104143.0,22.0,39399.71052631583,28029.86634181937,121899.0,54.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14927637,885,495,390,21602.950286103554,59.28600755765966,16886.467194570134,23070.542742285266,116020.0,25.0,30217.888663967624,25533.6936283421,116254.0,25.0,38312.66323907452,28619.773530918133,121212.0,161.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14964779,779,430,349,18652.330248244896,52.05556326625338,19234.93444730077,25162.914725078885,122521.0,19.0,34882.93473193476,28652.4395188888,122788.0,21.0,42999.804597701106,30618.248794206946,161419.0,76.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14988155,742,415,327,17973.059392566996,49.505759714921545,20226.929824561394,26533.03395291273,122202.0,12.0,36203.27294685991,29937.931546755215,122438.0,20.0,45890.46932515338,31404.083043167066,137210.0,325.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14938722,772,438,334,19096.345724888648,51.677780736531545,19375.774319066135,26177.267179420534,131823.0,28.0,34184.71853546912,28998.743773344122,131977.0,152.0,44711.30630630629,32311.002317217633,138935.0,185.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14983620,758,421,337,18298.849009785354,50.588576058389094,19793.421400264237,25845.708971232074,129087.0,21.0,35675.285714285725,29631.984631512332,129087.0,54.0,44316.15773809525,30442.27282513772,143325.0,291.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14988829,787,436,351,18950.379646068413,52.50576946337836,19069.756997455454,25710.008675960114,121566.0,18.0,34457.078160919504,29079.8195930667,121866.0,43.0,42745.119999999995,31563.274473551104,149996.0,357.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14977462,847,469,378,20500.469305146627,56.55163738689506,17703.855791962214,24706.804651992614,124771.0,7.0,32003.12393162396,28484.990390515795,124871.0,11.0,39645.79840848812,30291.581589499336,124954.0,275.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14975406,840,468,372,19982.63018712147,56.0919683913745,17849.113230035768,23702.592449981756,118596.0,8.0,32067.250535331877,26188.86422874431,118596.0,8.0,40364.110512129344,28391.384020626276,122627.0,210.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14984168,786,438,348,19074.132110638373,52.45536488912831,19088.11210191084,25044.942992042565,122699.0,11.0,34288.713958810054,27720.860343876237,123006.0,32.0,43109.247838616706,30256.018256951582,123560.0,373.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14999183,720,402,318,15914.800159448685,48.00261454240541,20861.17246175242,27509.12537966374,146177.0,13.0,37404.446384039904,30581.148452727266,146407.0,16.0,47280.44479495268,32375.891189350998,146397.0,390.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14960186,991,548,443,22275.190963534813,66.24249190484663,15111.29898989899,21276.807179290106,123200.0,18.0,27349.517367458862,23632.057226248024,123200.0,133.0,33787.54751131223,25965.309300297107,136484.0,421.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14971445,703,395,308,16710.6782277863,46.95605534402324,21326.84472934476,28380.84869192105,143351.0,18.0,37998.591370558366,31036.037974149527,143804.0,18.0,48761.46905537459,34431.88586201114,143351.0,425.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14964440,676,381,295,15971.46301498753,45.17375859036489,22169.540740740733,29331.378593754063,128786.0,17.0,39380.10526315785,32797.632667150916,136429.0,20.0,50763.78571428572,32563.814190704976,142932.0,547.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14926799,718,398,320,17030.84499228535,48.10140472850207,20818.408647140863,26594.665314001984,125782.0,21.0,37598.98992443327,30162.057522989064,125782.0,38.0,46556.974921630135,30780.837770616406,129269.0,277.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14973058,945,529,416,23092.410381366317,63.11336000969207,15861.29025423732,22257.259514431644,148402.0,9.0,28358.06439393939,25414.30012310527,148402.0,9.0,36068.631325301205,28584.47547312869,149044.0,378.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14989863,778,432,346,18535.659732180342,51.90174186381824,19291.97297297295,26086.207396348353,121580.0,12.0,34693.2505800464,29767.98799971234,121852.0,17.0,43337.55942028986,30967.821387177297,121740.0,253.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14975257,890,497,393,21446.242959302803,59.431367354830705,16845.05849268839,23060.505935203702,130431.0,18.0,30192.050403225803,26447.966606979793,130720.0,19.0,37836.20408163266,28073.047769857105,130591.0,212.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14976693,951,529,422,22625.154965785838,63.49866422447199,15764.940000000008,21635.330895272295,146168.0,10.0,28364.94886363637,24194.681709498578,146168.0,11.0,35526.28028503562,27011.061510096297,151796.0,213.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14971799,831,463,368,19826.875848386688,55.50435188182796,18038.312048192794,23900.312938939256,123901.0,13.0,32406.491341991357,26741.976590449194,123901.0,16.0,40743.36784741145,29780.51350049876,132171.0,345.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14984698,778,430,348,18465.17026903045,51.919631613530015,19285.325611325577,25619.79401562122,126662.0,40.0,34929.36596736595,28792.52075989896,135326.0,40.0,43179.16138328528,31793.477186155607,134847.0,158.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14969221,871,485,386,20698.939510613145,58.186060583914156,17206.001149425323,23628.729561328346,127426.0,26.0,30850.19214876035,26750.215751887423,127850.0,26.0,38802.012987013004,29070.091606723036,127426.0,297.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14990544,839,468,371,20305.333815770795,55.96861594882748,17888.477326968954,23868.523356352536,122234.0,31.0,32099.66595289081,27497.332677506067,122492.0,31.0,40320.34864864866,28543.571372919203,127198.0,362.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14974034,789,443,346,19281.310567346114,52.69121200072072,19002.581218274125,25345.667994926185,129670.0,18.0,33877.51357466065,28510.316146951693,129670.0,18.0,43352.65507246381,29989.627924537355,132740.0,410.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14953458,918,514,404,21785.529474185838,61.390482388755835,16306.933478735007,22304.5478101245,135615.0,16.0,29149.04093567251,25563.90103381487,135756.0,16.0,37094.409429280386,28238.919718083915,135933.0,329.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14976869,864,480,384,20137.319756218738,57.68896022259392,17354.425260718443,23177.159603457483,151940.0,19.0,31266.949895615846,26516.228379591543,152275.0,31.0,39061.51436031335,28984.03748326997,152077.0,279.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14886748,758,423,335,18114.97044216776,50.91776928043653,19665.453104359265,25614.828333403213,119885.0,0.0,35276.654028436016,28359.312517986855,119885.0,0.0,44380.79940119762,29848.58993161293,147168.0,406.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14968633,965,534,431,22448.743315438358,64.4681448199044,15527.627593360998,20973.961848376184,115251.0,13.0,28083.57598499058,24051.047248710875,115498.0,15.0,34710.20465116276,24492.53391915307,121979.0,420.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14983975,767,426,341,18517.783165014625,51.18801920051255,19561.325065274144,25443.227026903667,126624.0,24.0,35256.411764705874,28846.243142008618,126794.0,24.0,43963.6029411765,29844.72439791666,126762.0,357.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14937567,785,432,353,18888.885987925612,52.552065540526115,19053.01913265306,26082.746940214533,128632.0,11.0,34657.92807424592,29135.072400992816,128769.0,11.0,42430.88920454544,31823.026519255487,128860.0,219.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14953412,686,387,299,16064.694800089772,45.87581750573047,21829.798540145966,28546.471565492495,166807.0,16.0,38739.40932642484,31314.857187252055,166807.0,22.0,50053.32550335566,32719.480216858094,176564.0,226.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14979191,771,435,336,18823.379713897768,51.47140456383793,19453.494805194794,25144.90926527695,113943.0,10.0,34514.264976958526,27913.549996551763,113943.0,10.0,44593.080597014894,30625.6054413488,121918.0,239.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14967434,745,420,325,18518.872373180333,49.77473092582202,20117.518817204284,24973.34277341032,138055.0,28.0,35721.79952267307,27503.491625973595,138055.0,333.0,46175.69135802469,31659.163122442507,140894.0,191.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14916949,759,424,335,18495.672271856663,50.88171850691452,19679.352242744077,26865.709186945096,141172.0,40.0,35264.654846335674,30642.857952029604,141407.0,44.0,44575.14071856287,32564.274545117834,141425.0,269.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14991367,808,447,361,19642.57162138716,53.897686581884095,18576.66294919455,24990.07038816342,124548.0,12.0,33530.41031390136,28006.14762744318,124690.0,27.0,41455.35,30367.431922550713,124753.0,402.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14978873,883,491,392,21130.2946490033,58.94969534757388,16982.849206349216,22693.55080110823,121280.0,15.0,30569.12857142857,26327.663404900915,121529.0,20.0,38043.65473145778,26875.316410702155,126788.0,370.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14950371,734,405,329,17945.842280435714,49.09577160325988,20396.140518417476,26849.217102346127,152148.0,37.0,37005.868811881184,29765.58273357166,152363.0,37.0,45579.99999999998,32792.14857062092,152272.0,369.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14999085,763,425,338,18217.244585253036,50.86976972261975,19683.83858267717,25434.037917521888,122084.0,40.0,35375.2004716981,28617.61429444011,122413.0,40.0,44187.53709198814,29109.767873178178,126456.0,435.0,0,0,0,0,0,0,0,0
